"","state","gp","gp_vs_rank","mi","mi_rank","util_diff","rank_diff"
"111","3432111",0.628392168030331,3988,0.6544939462782,4214,-0.0261017782478689,-226
"112","4432111",0.586917837329791,5832,0.612083571156389,6385,-0.0251657338265985,-553
"113","1142111",0.806569730751962,268,0.822248120238828,260,-0.0156783894868663,8
"114","2142111",0.743346558243773,878,0.765873635598005,845,-0.0225270773542319,33
"115","3142111",0.70023234943027,1686,0.737079802398225,1371,-0.0368474529679559,315
"116","4142111",0.65875801872973,2856,0.694669427276415,2587,-0.0359114085466855,269
"117","1242111",0.752611953158966,750,0.766943841293122,825,-0.0143318881341562,-75
"118","2242111",0.689388780650777,1958,0.710569356652299,2068,-0.0211805760015218,-110
"119","3242111",0.646274571837273,3323,0.681775523452519,3064,-0.0355009516152458,259
"120","4242111",0.604800241136733,5013,0.639365148330709,4963,-0.0345649071939754,50
"121","1342111",0.72463248288219,1185,0.739893273959824,1317,-0.0152607910776345,-132
"122","2342111",0.661409310374001,2777,0.683518789319001,2986,-0.022109478945,-209
"123","3342111",0.618295101560497,4415,0.654724956119221,4200,-0.036429854558724,215
"124","4342111",0.576820770859957,6343,0.612314580997411,6371,-0.0354938101374537,-28
"125","1442111",0.685695984897194,2064,0.699263769991718,2432,-0.0135677850945246,-368
"126","2442111",0.622472812389005,4244,0.642889285350895,4767,-0.0204164729618903,-523
"127","3442111",0.579358603575501,6238,0.614095452151116,6263,-0.0347368485756143,-25
"128","4442111",0.537884272874961,8335,0.571685077029305,8677,-0.0338008041543439,-342
"129","1113111",0.928031912665825,10,0.936184428082109,11,-0.00815251541628348,-1
"130","2113111",0.864808740157637,68,0.879809943441286,58,-0.0150012032836491,10
"131","3113111",0.821694531344133,191,0.851016110241506,123,-0.0293215788973731,68
"132","4113111",0.780220200643593,448,0.808605735119696,352,-0.0283855344761026,96
"133","1213111",0.874074135072829,52,0.880880149136403,55,-0.00680601406357328,-3
"134","2213111",0.81085096256464,243,0.824505664495579,247,-0.0136547019309389,-4
"135","3213111",0.767736753751137,576,0.7957118312958,459,-0.0279750775446629,117
"136","4213111",0.726262423050597,1155,0.75330145617399,1038,-0.0270390331233926,117
"137","1313111",0.846094664796053,107,0.853829581803105,111,-0.00773491700705153,-4
"138","2313111",0.782871492287864,425,0.797455097162281,435,-0.0145836048744171,-10
"139","3313111",0.739757283474361,928,0.768661263962502,790,-0.0289039804881411,138
"140","4313111",0.698282952773821,1736,0.726250888840692,1633,-0.0279679360668709,103
"141","1413111",0.807158166811057,264,0.813200077834999,311,-0.00604191102394169,-47
